Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.408,2.134,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.044,1.679,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.118,1.801,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.25,1.914,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.087,1.619,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.122,1.698,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.043,1.681,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.05,1.719,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.202,1.853,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.04,1.581,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.987,1.527,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.939,1.501,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.025,1.562,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.018,1.491,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.939,1.517,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Herring,otolith,NA,NA,3,1,NA,NA,NA,0.985,1.744,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_05,colon,O-Län,Herring,otolith,NA,NA,3,1,NA,NA,NA,1.045,1.708,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.063,2.022,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.191,2.354,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.063,2.025,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.047,1.838,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.084,1.866,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.119,1.919,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.172,2.006,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.18,1.957,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2025_83,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.063,1.205,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2025_83,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.097,1.164,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2025_83,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.067,1.329,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2025_83,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,0.941,1.021,NA,NA,Sprat,Clupeidae,Sprattus sprattus
